Epsiode_Number,Deaths
1,4
2,3
3,0
4,1
5,5
6,4
7,2
8,7
9,2
10,3
11,2
12,1
13,2
14,4
15,4
16,5
17,8
18,3
19,2
20,8
21,1
22,1
23,1
24,5
25,4
26,1
27,0
28,3
29,9
30,1
31,2
32,3
33,4
34,1
35,3
36,0
37,4
38,7
39,10
40,4
41,2
42,1
43,3
44,2
45,1
46,1
47,1
48,4
49,4
50,8
51,5
52,4
53,9
54,8
55,5
56,1
57,1
58,8
59,7
60,12
61,2
62,2
63,2
64,0
65,2
66,4
67,1
68,1
69,0
70,9
71,2
72,11
